id_cliente,nombre,apellido,email,calle,numero,localidad,telefono
1,JOSE,GOMEZ,JOSE.GOMEZ@HOTMAIL.COM,LAPRIDA,456,CABA,1544778866
2,CLAUDIO,PEREZ,CLAUDIO.PEREZ@GMAIL.COM,EDISON,897,OLIVOS,1523235689
3,HERNAN,IBAÑEZ,HERNAN.IBAÑEZ@HOTMAIL.COM,CORRIENTES,1561,MARTINEZ,1545789856
4,FEDERICO,ROMERO,FEDERICO.ROMERO@GMAIL.COM,MONTEAGUDO,1233,CABA,1525879654
5,MARIA,GALARZA,MARIA.GALARZA@GMAIL.COM,MAIPU,5,SAN ISIDRO,1555555557
6,MARTA,HEREDIA,MARTA.HEREDIA@GMAIL.COM,SANTA FE,45,VTE LOPEZ,1524578321
7,CLARA,GONZALEZ,CLARA.GONZALEZ@HOTMAIL.COM,CABILDO,7,CABA,1524581899
8,SOFIA,JUAREZ,SOFIA.JUAREZ@LIVE.COM,9 DE JULIO,7512,VTE LOPEZ,1524585477
9,PEDRO,REYES,PEDRO.REYES@LIVE.COM,PASOS,125,OLIVOS,1524589055
10,MARCOS,PEREZ,MARCOS.PEREZ@LIVE.COM,VALLEGRANDE,4545,CABA,1524592633
11,JORGE,POLO,JORGE.POLO@HOTMAIL.COM,BERMUDEZ,784,VTE LOPEZ,1524596211
12,JOSE,ROLON,JOSE.ROLON@LIVE.COM,ITALIA,555,OLIVOS,1524599789
13,LEANDRO,ABAD,LEANDRO.ABAD@LIVE.COM,FRANCIA,221,CABA,1524603367
14,TOMAS,CEREZ,TOMAS.CEREZ@HOTMAIL.COM,BRASIL,147,CABA,1524606945
15,LAURA,PEREZ,LAURA.PEREZ@HOTMAIL.COM,LIBERTADOR,9822,CABA,1524610523
